protein_id	matrixdb_ecm	matrisome_category	matrisome_subcategory	dataset	interaction_count
Q5ZKC9	True			Swiss-Prot	1
P63104	True			Swiss-Prot	1321
P36639	True			Swiss-Prot	23
P53368	True			Swiss-Prot	0
P53369	True			Swiss-Prot	0
Q7SIH1	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
P01023	True	Matrisome-associated	ECM Regulators	Swiss-Prot	432
Q6GQT1	True	Matrisome-associated	ECM Regulators	Swiss-Prot	2
P06238	True			Swiss-Prot	2
A8K2U0	True	Matrisome-associated	ECM Regulators	Swiss-Prot	37
Q28053	True			Swiss-Prot	0
Q28280	True			Swiss-Prot	0
P05067	True			Swiss-Prot	1115
P12023	True			Swiss-Prot	87
P79307	True			Swiss-Prot	0
Q28748	True			Swiss-Prot	0
P08592	True			Swiss-Prot	12
Q28757	True			Swiss-Prot	0
Q99758	True			Swiss-Prot	31
Q54XS2	True			Swiss-Prot	0
Q8NEB7	True			Swiss-Prot	2
Q3V140	True			Swiss-Prot	0
Q29016	True			Swiss-Prot	0
Q6AY33	True			Swiss-Prot	0
P05095	True			Swiss-Prot	0
Q55DU1	True			Swiss-Prot	0
O75077	True	Matrisome-associated	ECM Regulators	Swiss-Prot	32
Q9R1V7	True	Matrisome-associated	ECM Regulators	Swiss-Prot	2
Q9UKQ2	True	Matrisome-associated	ECM Regulators	Swiss-Prot	43
P54922	True			Swiss-Prot	11
P54923	True			Swiss-Prot	1
Q02589	True			Swiss-Prot	0
Q12904	True			Swiss-Prot	116
P31230	True			Swiss-Prot	2
P02769	True			Swiss-Prot	21
P49822	True			Swiss-Prot	0
P19121	True			Swiss-Prot	1
P02768	True			Swiss-Prot	306
P07724	True			Swiss-Prot	9
P35858	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	19
P30533	True			Swiss-Prot	92
O08590	True			Swiss-Prot	0
Q29437	True			Swiss-Prot	0
O46406	True			Swiss-Prot	0
P09813	True			Swiss-Prot	1
P04638	True			Swiss-Prot	0
P06727	True			Swiss-Prot	38
P02649	True			Swiss-Prot	271
P15514	True	Matrisome-associated	Secreted Factors	Swiss-Prot	73
P54638	True			Swiss-Prot	0
Q9NZ32	True			Swiss-Prot	125
O15511	True			Swiss-Prot	136
Q9XPJ9	True			Swiss-Prot	0
P02701	True			Swiss-Prot	1
P50895	True			Swiss-Prot	104
Q9ULD4	True			Swiss-Prot	113
Q075Z2	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	0
Q28065	True			Swiss-Prot	0
P04003	True			Swiss-Prot	132
P08607	True			Swiss-Prot	1
Q63514	True			Swiss-Prot	0
Q28066	True			Swiss-Prot	0
P20851	True			Swiss-Prot	57
Q63515	True			Swiss-Prot	0
P57796	True			Swiss-Prot	52
P25230	True			Swiss-Prot	0
Q01518	True			Swiss-Prot	167
P02669	True			Swiss-Prot	0
Q91ZF2	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
D3ZZ07	True			Swiss-Prot	0
Q9JI81	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
P07688	True			Swiss-Prot	0
P43233	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
P07858	True	Matrisome-associated	ECM Regulators	Swiss-Prot	151
P10605	True	Matrisome-associated	ECM Regulators	Swiss-Prot	10
A1E295	True			Swiss-Prot	0
Q17QK3	True			Swiss-Prot	0
Q9Y646	True			Swiss-Prot	39
Q9WVJ3	True			Swiss-Prot	0
Q6IRK9	True			Swiss-Prot	1
Q55DL1	True			Swiss-Prot	0
A2VE00	True			Swiss-Prot	0
Q8NHW4	True	Matrisome-associated	Secreted Factors	Swiss-Prot	92
Q9PU41	True			Swiss-Prot	0
P06307	True			Swiss-Prot	122
P09240	True			Swiss-Prot	0
P01356	True			Swiss-Prot	0
P01355	True			Swiss-Prot	0
Q9TTS6	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P51671	True	Matrisome-associated	Secreted Factors	Swiss-Prot	212
P06729	True			Swiss-Prot	426
P08920	True			Swiss-Prot	2
P08921	True			Swiss-Prot	2
P01732	True			Swiss-Prot	384
P10966	True			Swiss-Prot	423
A2VDZ5	True			Swiss-Prot	0
Q5ZLK8	True			Swiss-Prot	0
Q6NZZ3	True			Swiss-Prot	0
Q7Z4R8	True			Swiss-Prot	15
Q9DAY5	True			Swiss-Prot	0
Q6AY64	True			Swiss-Prot	0
P32750	True			Swiss-Prot	0
P06276	True			Swiss-Prot	53
Q03311	True			Swiss-Prot	0
P32752	True			Swiss-Prot	0
P21927	True			Swiss-Prot	0
P32753	True			Swiss-Prot	0
Q86X52	True			Swiss-Prot	52
Q6ZQ11	True			Swiss-Prot	0
Q9BZ76	True			Swiss-Prot	62
P23206	True			Swiss-Prot	0
P08125	True	Core matrisome	Collagens	Swiss-Prot	0
Q03692	True	Core matrisome	Collagens	Swiss-Prot	113
Q05306	True	Core matrisome	Collagens	Swiss-Prot	0
Q28083	True	Core matrisome	Collagens	Swiss-Prot	2
P12107	True	Core matrisome	Collagens	Swiss-Prot	187
Q61245	True	Core matrisome	Collagens	Swiss-Prot	1
P20909	True			Swiss-Prot	35
Q32S24	True	Core matrisome	Collagens	Swiss-Prot	2
P13942	True	Core matrisome	Collagens	Swiss-Prot	178
Q64739	True	Core matrisome	Collagens	Swiss-Prot	0
Q96P44	True	Core matrisome	Collagens	Swiss-Prot	39
Q54CU4	True			Swiss-Prot	0
Q8T2A1	True			Swiss-Prot	0
Q54TT6	True			Swiss-Prot	0
Q54NU3	True			Swiss-Prot	0
Q557B8	True			Swiss-Prot	0
Q17RW2	True	Core matrisome	Collagens	Swiss-Prot	65
Q30D77	True	Core matrisome	Collagens	Swiss-Prot	0
Q14019	True			Swiss-Prot	51
A7MCS3	True			Swiss-Prot	0
Q3UST5	True			Swiss-Prot	0
Q7Z4B0	True			Swiss-Prot	0
C7DZK3	True			Swiss-Prot	0
A0MSJ1	True			Swiss-Prot	0
Q9NQ79	True			Swiss-Prot	33
Q8R555	True			Swiss-Prot	0
P21837	True			Swiss-Prot	0
O14936	True			Swiss-Prot	413
O70589	True			Swiss-Prot	20
Q62915	True			Swiss-Prot	13
P81282	True	Core matrisome	Proteoglycans	Swiss-Prot	0
Q9H114	True	Matrisome-associated	ECM Regulators	Swiss-Prot	8
P19661	True			Swiss-Prot	0
Q2IAL6	True			Swiss-Prot	0
P50415	True			Swiss-Prot	0
P33046	True			Swiss-Prot	0
P54229	True			Swiss-Prot	0
P54228	True			Swiss-Prot	0
P56425	True			Swiss-Prot	0
Q96CG8	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	3
Q9D1D6	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	0
Q8CG08	True			Swiss-Prot	0
B0R191	True			Swiss-Prot	0
P81534	True			Swiss-Prot	43
Q8WTQ1	True			Swiss-Prot	6
Q8N688	True			Swiss-Prot	0
Q8NES8	True			Swiss-Prot	3
Q8N687	True			Swiss-Prot	1
Q9BYW3	True			Swiss-Prot	15
Q55BZ5	True			Swiss-Prot	0
Q54CS6	True			Swiss-Prot	0
P28309	True			Swiss-Prot	0
P28310	True			Swiss-Prot	0
P28311	True			Swiss-Prot	0
P28312	True			Swiss-Prot	0
P50704	True			Swiss-Prot	0
P50705	True			Swiss-Prot	0
P50706	True			Swiss-Prot	0
P50707	True			Swiss-Prot	0
P46159	True			Swiss-Prot	0
Q7TNV7	True			Swiss-Prot	0
Q32ZF8	True			Swiss-Prot	0
Q70KL3	True			Swiss-Prot	0
Q32ZF7	True			Swiss-Prot	0
Q70KL2	True			Swiss-Prot	0
Q30KP6	True			Swiss-Prot	0
Q8BVB5	True			Swiss-Prot	0
Q30KM9	True			Swiss-Prot	0
Q32ZF3	True			Swiss-Prot	0
O15263	True			Swiss-Prot	12
Q6TU36	True			Swiss-Prot	0
Q30KJ2	True			Swiss-Prot	0
O18815	True			Swiss-Prot	0
Q00796	True			Swiss-Prot	29
Q01459	True			Swiss-Prot	15
Q3SZM7	True			Swiss-Prot	0
P16444	True			Swiss-Prot	63
P31428	True			Swiss-Prot	1
P22412	True			Swiss-Prot	0
P31429	True			Swiss-Prot	0
P31430	True			Swiss-Prot	0
P43477	True			Swiss-Prot	0
P35621	True			Swiss-Prot	0
Q9BEG5	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q92838	True	Matrisome-associated	Secreted Factors	Swiss-Prot	109
O54693	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q8IUX8	True	Matrisome-associated	Secreted Factors	Swiss-Prot	38
Q9JJZ5	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q9UHF1	True	Matrisome-associated	Secreted Factors	Swiss-Prot	102
Q9QXT5	True	Matrisome-associated	Secreted Factors	Swiss-Prot	5
Q6AZ60	True			Swiss-Prot	0
Q99944	True	Matrisome-associated	Secreted Factors	Swiss-Prot	18
Q6GUQ1	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
A5A8Y8	True			Swiss-Prot	0
Q6MG84	True			Swiss-Prot	0
A3KN33	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	0
Q63HQ2	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	109
Q4VBE4	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	7
B4F785	True			Swiss-Prot	0
P00533	True			Swiss-Prot	1646
P54320	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	1
Q99372	True			Swiss-Prot	0
P11547	True			Swiss-Prot	0
Q14507	True			Swiss-Prot	5
P56851	True			Swiss-Prot	81
Q9QXD6	True			Swiss-Prot	14
P19112	True			Swiss-Prot	0
P55052	True			Swiss-Prot	0
Q8N539	True			Swiss-Prot	12
A2AV25	True			Swiss-Prot	0
Q8R089	True			Swiss-Prot	0
P55899	True			Swiss-Prot	189
Q61559	True			Swiss-Prot	0
P13599	True			Swiss-Prot	2
P21781	True	Matrisome-associated	Secreted Factors	Swiss-Prot	164
P36363	True	Matrisome-associated	Secreted Factors	Swiss-Prot	2
Q9N198	True			Swiss-Prot	0
Q02195	True			Swiss-Prot	0
O57341	True			Swiss-Prot	0
Q805B2	True			Swiss-Prot	0
O62682	True			Swiss-Prot	0
Q90722	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P55075	True	Matrisome-associated	Secreted Factors	Swiss-Prot	185
P37237	True	Matrisome-associated	Secreted Factors	Swiss-Prot	2
P31371	True	Matrisome-associated	Secreted Factors	Swiss-Prot	130
P54130	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q95L12	True			Swiss-Prot	0
P36364	True			Swiss-Prot	0
Q9UIM3	True			Swiss-Prot	75
O35450	True			Swiss-Prot	1
Q6MG81	True			Swiss-Prot	0
Q4ZHG4	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	157
Q2Q0I9	True			Swiss-Prot	2
A6QPL2	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q9H6D8	True			Swiss-Prot	16
Q3TR08	True			Swiss-Prot	0
Q1L867	True			Swiss-Prot	0
Q8NAU1	True			Swiss-Prot	8
Q8K4Z2	True			Swiss-Prot	1
Q8K3V5	True			Swiss-Prot	0
Q5VTL7	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	0
A2AED3	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	0
P42685	True			Swiss-Prot	326
P06745	True			Swiss-Prot	3
P32455	True			Swiss-Prot	122
P35573	True			Swiss-Prot	66
Q08DX6	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P55107	True	Matrisome-associated	Secreted Factors	Swiss-Prot	104
P97737	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P55108	True			Swiss-Prot	0
Q98TU0	True			Swiss-Prot	0
P39905	True	Matrisome-associated	Secreted Factors	Swiss-Prot	125
P48540	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q07731	True			Swiss-Prot	0
P07093	True	Matrisome-associated	ECM Regulators	Swiss-Prot	60
Q07235	True	Matrisome-associated	ECM Regulators	Swiss-Prot	1
P07092	True			Swiss-Prot	1
Q54LN4	True			Swiss-Prot	0
Q54HL4	True			Swiss-Prot	0
A7YWG4	True			Swiss-Prot	0
Q92820	True			Swiss-Prot	93
Q9Z0L8	True			Swiss-Prot	0
Q62867	True			Swiss-Prot	0
Q9BDJ6	True			Swiss-Prot	0
Q02596	True			Swiss-Prot	0
Q6GXJ1	True			Swiss-Prot	0
Q6IV26	True			Swiss-Prot	0
Q6QLR3	True			Swiss-Prot	0
Q6QLR2	True			Swiss-Prot	0
Q6IV23	True			Swiss-Prot	0
Q6QLR1	True			Swiss-Prot	0
P46976	True			Swiss-Prot	64
Q9BVP2	True			Swiss-Prot	257
P22749	True			Swiss-Prot	34
P37141	True			Swiss-Prot	0
P22352	True			Swiss-Prot	39
P46412	True			Swiss-Prot	1
O73755	True	Matrisome-associated	ECM-affiliated Proteins	Swiss-Prot	0
O60565	True	Matrisome-associated	ECM-affiliated Proteins	Swiss-Prot	97
O70326	True	Matrisome-associated	ECM-affiliated Proteins	Swiss-Prot	0
O35793	True			Swiss-Prot	1
Q9H772	True			Swiss-Prot	7
O88273	True			Swiss-Prot	3
Q54QR7	True			Swiss-Prot	0
P28799	True			Swiss-Prot	543
P28798	True			Swiss-Prot	8
P23785	True			Swiss-Prot	2
P30782	True			Swiss-Prot	0
P47854	True			Swiss-Prot	0
P10853	True			Swiss-Prot	1
P06899	True			Swiss-Prot	129
O60814	True			Swiss-Prot	133
Q8CGP1	True			Swiss-Prot	0
P62805	True			Swiss-Prot	422
P01942	True			Swiss-Prot	12
Q9Y3E1	True			Swiss-Prot	24
P05546	True	Matrisome-associated	ECM Regulators	Swiss-Prot	86
P49182	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
P47776	True			Swiss-Prot	0
Q64268	True			Swiss-Prot	0
Q08048	True	Matrisome-associated	Secreted Factors	Swiss-Prot	2
P17945	True			Swiss-Prot	1
Q92619	True			Swiss-Prot	117
A0A0B4J1Y9	True			Swiss-Prot	0
A0A0B4J1V6	True			Swiss-Prot	0
A0A0B4J1X5	True			Swiss-Prot	0
P0DTE1	True			Swiss-Prot	0
P0DTW3	True			Swiss-Prot	0
A0A075B6R2	True			Swiss-Prot	0
A0A0C4DH34	True			Swiss-Prot	0
P0DP07	True			Swiss-Prot	0
A0A087WSY4	True			Swiss-Prot	0
P06331	True			Swiss-Prot	46
P01824	True			Swiss-Prot	0
P0DP04	True			Swiss-Prot	0
P01825	True			Swiss-Prot	0
A0A0C4DH41	True			Swiss-Prot	0
P0DTE2	True			Swiss-Prot	0
A0A0C4DH38	True			Swiss-Prot	0
A0A0J9YXX1	True			Swiss-Prot	0
A0A0B4J1U7	True			Swiss-Prot	0
A0A0J9YX35	True			Swiss-Prot	0
A0A0G2JMI3	True			Swiss-Prot	0
Q14626	True			Swiss-Prot	30
Q64385	True			Swiss-Prot	3
Q99MF4	True			Swiss-Prot	0
Q14627	True			Swiss-Prot	135
O88786	True			Swiss-Prot	6
Q13261	True			Swiss-Prot	18
Q16270	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	312
Q61581	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	0
Q9Y6W8	True			Swiss-Prot	79
Q24K02	True			Swiss-Prot	0
P14735	True			Swiss-Prot	82
Q9JHR7	True			Swiss-Prot	1
P35559	True			Swiss-Prot	1
P56830	True			Swiss-Prot	0
P56829	True			Swiss-Prot	0
P56831	True			Swiss-Prot	0
P56832	True			Swiss-Prot	0
Q28594	True			Swiss-Prot	0
Q28595	True			Swiss-Prot	0
Q29429	True			Swiss-Prot	0
Q08071	True			Swiss-Prot	0
Q08072	True			Swiss-Prot	0
Q08070	True			Swiss-Prot	0
Q08053	True			Swiss-Prot	0
P28169	True			Swiss-Prot	0
P07352	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P05000	True	Matrisome-associated	Secreted Factors	Swiss-Prot	5
P07455	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P33712	True			Swiss-Prot	0
P18254	True			Swiss-Prot	0
P05019	True	Matrisome-associated	Secreted Factors	Swiss-Prot	203
P05017	True	Matrisome-associated	Secreted Factors	Swiss-Prot	1
P16545	True			Swiss-Prot	0
Q95222	True			Swiss-Prot	0
P08025	True			Swiss-Prot	0
P10763	True			Swiss-Prot	0
P18893	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q29055	True			Swiss-Prot	0
Q9TSJ4	True			Swiss-Prot	0
P29456	True			Swiss-Prot	0
Q29408	True			Swiss-Prot	0
P20809	True	Matrisome-associated	Secreted Factors	Swiss-Prot	97
P47873	True	Matrisome-associated	Secreted Factors	Swiss-Prot	1
Q99MF5	True			Swiss-Prot	0
P54349	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q28267	True			Swiss-Prot	0
Q0V8R5	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q14005	True	Matrisome-associated	Secreted Factors	Swiss-Prot	145
O54824	True	Matrisome-associated	Secreted Factors	Swiss-Prot	14
Q9UHF5	True	Matrisome-associated	Secreted Factors	Swiss-Prot	34
Q9QXT6	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q9P0M4	True	Matrisome-associated	Secreted Factors	Swiss-Prot	3
Q8K4C5	True	Matrisome-associated	Secreted Factors	Swiss-Prot	2
Q8TAD2	True	Matrisome-associated	Secreted Factors	Swiss-Prot	1
Q96PD4	True	Matrisome-associated	Secreted Factors	Swiss-Prot	111
Q7TNI7	True	Matrisome-associated	Secreted Factors	Swiss-Prot	2
Q5BJ95	True			Swiss-Prot	0
Q4KM46	True			Swiss-Prot	0
Q9UHA7	True	Matrisome-associated	Secreted Factors	Swiss-Prot	21
Q9JLA2	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q9NZH7	True	Matrisome-associated	Secreted Factors	Swiss-Prot	2
Q9D6Z6	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q9NZH8	True	Matrisome-associated	Secreted Factors	Swiss-Prot	9
Q8R460	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q9NZH6	True	Matrisome-associated	Secreted Factors	Swiss-Prot	41
P49875	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q9BDX4	True			Swiss-Prot	0
P08700	True	Matrisome-associated	Secreted Factors	Swiss-Prot	30
P01586	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q14974	True			Swiss-Prot	453
P01326	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P01323	True			Swiss-Prot	0
F8WCM5	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
P01005	True			Swiss-Prot	0
Q4JL91	True			Swiss-Prot	0
Q9BX67	True			Swiss-Prot	150
Q9D8B7	True			Swiss-Prot	2
Q68FQ2	True			Swiss-Prot	1
P15946	True			Swiss-Prot	0
P04071	True			Swiss-Prot	0
Q61759	True			Swiss-Prot	0
P15948	True			Swiss-Prot	0
Q61754	True			Swiss-Prot	0
P36369	True			Swiss-Prot	0
Q9JM71	True			Swiss-Prot	0
P35908	True			Swiss-Prot	117
O88867	True			Swiss-Prot	0
Q05655	True			Swiss-Prot	640
A6NCN2	True			Swiss-Prot	1
P01671	True			Swiss-Prot	0
P01672	True			Swiss-Prot	0
P01673	True			Swiss-Prot	0
P01674	True			Swiss-Prot	0
P06312	True			Swiss-Prot	120
P01680	True			Swiss-Prot	0
P06315	True			Swiss-Prot	0
P01633	True			Swiss-Prot	0
P01634	True			Swiss-Prot	0
P01635	True			Swiss-Prot	1
P01636	True			Swiss-Prot	1
P01637	True			Swiss-Prot	1
P01638	True			Swiss-Prot	0
P01639	True			Swiss-Prot	0
P01641	True			Swiss-Prot	0
P01642	True			Swiss-Prot	0
P01643	True			Swiss-Prot	0
P18627	True			Swiss-Prot	15
Q61790	True			Swiss-Prot	2
Q5BK54	True			Swiss-Prot	0
Q96L11	True			Swiss-Prot	3
Q9D9P8	True			Swiss-Prot	0
Q6JVE6	True			Swiss-Prot	0
Q810Z1	True			Swiss-Prot	0
Q6JVE5	True			Swiss-Prot	1
Q6JVL5	True			Swiss-Prot	0
P35951	True			Swiss-Prot	2
P50595	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
O02720	True			Swiss-Prot	0
O42164	True			Swiss-Prot	0
P41159	True	Matrisome-associated	Secreted Factors	Swiss-Prot	93
Q8NES3	True			Swiss-Prot	10
P54317	True			Swiss-Prot	11
P17892	True			Swiss-Prot	0
D7EZN2	True			Swiss-Prot	0
P54318	True			Swiss-Prot	0
Q17RR3	True			Swiss-Prot	0
P54310	True			Swiss-Prot	0
P15304	True			Swiss-Prot	1
A0A0A0MT76	True			Swiss-Prot	0
Q14392	True			Swiss-Prot	58
G3XA59	True			Swiss-Prot	0
Q3ZBI5	True			Swiss-Prot	0
Q6AXL3	True			Swiss-Prot	0
Q86YC3	True			Swiss-Prot	17
Q8BMT4	True			Swiss-Prot	1
Q5BK65	True			Swiss-Prot	0
A0N0X6	True			Swiss-Prot	0
Q6UXK5	True			Swiss-Prot	10
Q61809	True			Swiss-Prot	0
Q32Q07	True			Swiss-Prot	0
O75325	True			Swiss-Prot	25
Q9H3W5	True			Swiss-Prot	8
Q8CBC6	True			Swiss-Prot	0
Q9ESY6	True			Swiss-Prot	0
A1A4H9	True			Swiss-Prot	0
Q86UE6	True			Swiss-Prot	41
Q8K377	True			Swiss-Prot	3
D4A6D8	True			Swiss-Prot	0
O43300	True			Swiss-Prot	33
Q8BGA3	True			Swiss-Prot	0
D4A7P2	True			Swiss-Prot	0
Q86VH5	True			Swiss-Prot	2
A0A075B6I7	True			Swiss-Prot	0
A0A0A0MRZ9	True			Swiss-Prot	0
P01721	True			Swiss-Prot	78
P04211	True			Swiss-Prot	1
A0A075B6I9	True			Swiss-Prot	0
A0A075B6I0	True			Swiss-Prot	0
A0A0B4J1Y8	True			Swiss-Prot	0
A0A075B6I3	True			Swiss-Prot	0
P33072	True	Matrisome-associated	ECM Regulators	Swiss-Prot	3
Q05063	True	Matrisome-associated	ECM Regulators	Swiss-Prot	0
P28300	True	Matrisome-associated	ECM Regulators	Swiss-Prot	66
P28301	True	Matrisome-associated	ECM Regulators	Swiss-Prot	17
P45845	True			Swiss-Prot	0
P16636	True			Swiss-Prot	5
P17897	True			Swiss-Prot	1
P08905	True			Swiss-Prot	3
A0JNM6	True			Swiss-Prot	0
Q6UWQ5	True			Swiss-Prot	50
Q9CPX3	True			Swiss-Prot	0
Q7Z4W2	True			Swiss-Prot	65
Q2T9N7	True			Swiss-Prot	0
Q96KX0	True			Swiss-Prot	12
Q9D925	True			Swiss-Prot	0
D4ABW7	True			Swiss-Prot	0
Q32PD6	True			Swiss-Prot	0
Q96QH8	True			Swiss-Prot	8
A2AE20	True			Swiss-Prot	0
Q29RT1	True			Swiss-Prot	0
O75951	True			Swiss-Prot	12
Q9DA11	True			Swiss-Prot	0
Q7Z304	True			Swiss-Prot	9
Q8CG85	True			Swiss-Prot	0
P80931	True			Swiss-Prot	0
Q5ZME2	True			Swiss-Prot	1
P40925	True			Swiss-Prot	133
O75095	True	Matrisome-associated	Secreted Factors	Swiss-Prot	38
Q80V70	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
O88281	True			Swiss-Prot	0
Q9QYP0	True			Swiss-Prot	1
Q9H1U4	True	Matrisome-associated	Secreted Factors	Swiss-Prot	10
Q8BH27	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
Q5BK01	True			Swiss-Prot	0
Q54F07	True			Swiss-Prot	0
Q8R4G6	True			Swiss-Prot	0
Q08834	True			Swiss-Prot	0
P19879	True	Core matrisome	Proteoglycans	Swiss-Prot	0
Q9W6H0	True	Core matrisome	Proteoglycans	Swiss-Prot	0
P20774	True	Core matrisome	Proteoglycans	Swiss-Prot	20
Q62000	True	Core matrisome	Proteoglycans	Swiss-Prot	15
P28482	True			Swiss-Prot	900
Q1L6U9	True			Swiss-Prot	0
B1AWI6	True			Swiss-Prot	0
P25713	True			Swiss-Prot	50
P28184	True			Swiss-Prot	0
P37361	True			Swiss-Prot	2
Q9ULD2	True			Swiss-Prot	34
P04939	True			Swiss-Prot	0
P11590	True			Swiss-Prot	0
P11591	True			Swiss-Prot	0
P02762	True			Swiss-Prot	0
P02761	True			Swiss-Prot	0
P54659	True			Swiss-Prot	0
A5PJ93	True			Swiss-Prot	0
Q8WU39	True			Swiss-Prot	17
Q9D8I1	True			Swiss-Prot	1
Q561R0	True			Swiss-Prot	0
Q13508	True			Swiss-Prot	13
Q93070	True			Swiss-Prot	6
Q0VC22	True			Swiss-Prot	0
Q96L15	True			Swiss-Prot	8
P70352	True			Swiss-Prot	0
Q5XHY4	True			Swiss-Prot	0
Q8TB73	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	13
Q8C119	True	Core matrisome	ECM Glycoproteins	Swiss-Prot	1
Q15223	True			Swiss-Prot	483
Q1JQA5	True			Swiss-Prot	0
Q9UMX5	True			Swiss-Prot	10
Q9CQ45	True			Swiss-Prot	0
Q6IUR5	True			Swiss-Prot	0
A2CES0	True			Swiss-Prot	0
Q8WUJ1	True			Swiss-Prot	17
Q5SSH8	True			Swiss-Prot	0
Q92982	True			Swiss-Prot	24
O70131	True			Swiss-Prot	0
P70617	True			Swiss-Prot	0
Q9NQR4	True			Swiss-Prot	13
D4A523	True			Swiss-Prot	0
Q6QRN6	True			Swiss-Prot	0
E2QRY6	True			Swiss-Prot	0
Q6DHK1	True			Swiss-Prot	0
Q9IAK4	True			Swiss-Prot	0
Q99784	True			Swiss-Prot	217
O88998	True			Swiss-Prot	1
P79345	True			Swiss-Prot	0
Q28895	True			Swiss-Prot	0
Q9DGJ3	True			Swiss-Prot	0
P61916	True			Swiss-Prot	140
Q9Z0J0	True			Swiss-Prot	0
O97763	True			Swiss-Prot	0
Q496H8	True			Swiss-Prot	1
Q8C4W3	True			Swiss-Prot	0
Q28143	True			Swiss-Prot	0
Q9Y6K5	True			Swiss-Prot	75
Q7SZK7	True			Swiss-Prot	0
O75665	True			Swiss-Prot	344
Q80Z25	True			Swiss-Prot	1
Q29RB4	True			Swiss-Prot	0
Q0P3W2	True			Swiss-Prot	0
Q6UWY5	True			Swiss-Prot	59
Q66H86	True			Swiss-Prot	0
Q0VCP3	True			Swiss-Prot	0
Q25C36	True			Swiss-Prot	0
P68402	True			Swiss-Prot	50
P01298	True			Swiss-Prot	3
P10601	True			Swiss-Prot	0
P01300	True			Swiss-Prot	0
P41336	True			Swiss-Prot	0
P06303	True			Swiss-Prot	0
P01301	True			Swiss-Prot	0
P25116	True			Swiss-Prot	117
E2RYF7	True			Swiss-Prot	0
Q54HY0	True			Swiss-Prot	0
P20142	True			Swiss-Prot	19
Q8HYB7	True			Swiss-Prot	0
Q9BZM1	True			Swiss-Prot	13
Q9EPR2	True			Swiss-Prot	0
Q9BX93	True			Swiss-Prot	3
Q99P27	True			Swiss-Prot	1
P32194	True			Swiss-Prot	1
P18669	True			Swiss-Prot	92
Q96G03	True			Swiss-Prot	42
Q8R2H5	True			Swiss-Prot	0
P22062	True			Swiss-Prot	1
Q504Y2	True			Swiss-Prot	23
Q5RJI4	True			Swiss-Prot	0
P49259	True			Swiss-Prot	0
Q13018	True			Swiss-Prot	51
Q62028	True			Swiss-Prot	0
P49260	True			Swiss-Prot	0
P00491	True			Swiss-Prot	65
P23492	True			Swiss-Prot	0
P85973	True			Swiss-Prot	0
Q6P3Y9	True	Core matrisome	Proteoglycans	Swiss-Prot	0
Q99575	True			Swiss-Prot	138
Q6TMK4	True			Swiss-Prot	0
P15309	True			Swiss-Prot	41
Q8CE08	True			Swiss-Prot	1
P20646	True			Swiss-Prot	0
Q9JLV9	True	Matrisome-associated	Secreted Factors	Swiss-Prot	0
