protein_id,matrixdb_ecm,matrisome,species_ncbi,go_terms,keywords,dataset,interaction_count
G3V686,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q8K426,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q99P86,True,,10090,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q99P85,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9EP95,True,,10090,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9CYN9,True,,10090,Extracellular space,,Swiss-Prot,0
Q6TMK4,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P85973,True,,10116,Extracellular region,,Swiss-Prot,0
P04939,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P23492,True,,10090,Extracellular region,,Swiss-Prot,0
P79345,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9IAK4,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q6DHK1,True,,7955,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
E2QRY6,True,,9615,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q6QRN6,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
D4A523,True,,10116,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P70617,True,,10116,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
O70131,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q5SSH8,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A2CES0,True,,7955,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q6IUR5,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9CQ45,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q1JQA5,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q5XHY4,True,,10116,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P70352,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q0VC22,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q561R0,True,,10116,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A5PJ93,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P54659,True,,44689,Extracellular matrix,,Swiss-Prot,0
P02761,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P02762,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P11591,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P11590,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q28895,True,,9615,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q9DGJ3,True,,7955,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q9Z0J0,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P06303,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P49260,True,,9986,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q62028,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P49259,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
