protein_id,matrixdb_ecm,matrisome,species_ncbi,go_terms,keywords,dataset,interaction_count
Q5S007,True,,9606,Extracellular space,,Swiss-Prot,2346
P10636,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,2343
P00533,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,1646
P63104,True,,9606,Extracellular space,,Swiss-Prot,1321
P02751,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,1146
P05067,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,1115
P21333,True,,9606,Extracellular region,,Swiss-Prot,1107
P11362,True,,9606,Extracellular region,,Swiss-Prot,1086
P19320,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,1040
P08238,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,999
Q8WZ42,True,,9606,Extracellular region,,Swiss-Prot,990
P11142,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,972
P19838,True,,9606,Extracellular region,,Swiss-Prot,936
P07900,True,,9606,Extracellular region,,Swiss-Prot,917
P35968,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,907
P31947,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,901
P28482,True,,9606,Extracellular region,,Swiss-Prot,900
P07437,True,,9606,Extracellular region,,Swiss-Prot,891
P0DP23,True,,9606,Extracellular region,,Swiss-Prot,832
P10809,True,,9606,Extracellular space,,Swiss-Prot,829
P22607,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,820
P46531,True,,9606,Extracellular region,,Swiss-Prot,750
Q86VP6,True,,9606,Extracellular region,,Swiss-Prot,739
P04792,True,,9606,Extracellular space,,Swiss-Prot,733
P37840,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,699
P51532,True,,9606,Extracellular space,,Swiss-Prot,675
P17948,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,670
P08567,True,,9606,Extracellular region,,Swiss-Prot,657
P21860,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,644
P68431,True,,9606,Extracellular region,,Swiss-Prot,642
O94813,True,ECM Glycoproteins|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,642
P63261,True,,9606,Extracellular space,,Swiss-Prot,641
Q05655,True,,9606,Extracellular region,,Swiss-Prot,640
P67809,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,638
Q13813,True,,9606,Extracellular region,,Swiss-Prot,637
P29323,True,,9606,Extracellular region,,Swiss-Prot,635
P07996,True,ECM Glycoproteins|Core matrisome,9606,Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,635
P37173,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,619
P19438,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,613
O14757,True,,9606,Extracellular space,,Swiss-Prot,607
P60709,True,,9606,Extracellular space,,Swiss-Prot,597
P13501,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,581
O00560,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,580
P00749,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,560
P10721,True,,9606,Extracellular space,,Swiss-Prot,560
Q07021,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,556
P22455,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,554
P29350,True,,9606,Extracellular region,,Swiss-Prot,546
P12830,True,,9606,Extracellular region,,Swiss-Prot,546
Q16539,True,,9606,Extracellular region,,Swiss-Prot,546
P28799,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,543
P30530,True,,9606,Extracellular space,,Swiss-Prot,524
P15311,True,,9606,Extracellular space,,Swiss-Prot,522
O15020,True,,9606,Extracellular space,,Swiss-Prot,517
P62979,True,,9606,Extracellular space,,Swiss-Prot,516
P04216,True,,9606,Extracellular region,,Swiss-Prot,515
Q13464,True,,9606,Extracellular region,,Swiss-Prot,514
Q5XIE8,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,513
P09871,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,512
P07910,True,,9606,Extracellular region,,Swiss-Prot,504
Q15303,True,,9606,Extracellular region,,Swiss-Prot,503
Q9Y287,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,502
P51159,True,,9606,Extracellular region,,Swiss-Prot,502
P06396,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,498
P55290,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,497
P29279,True,,9606,Extracellular matrix|Extracellular region,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,492
P00441,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,490
P78371,True,,9606,Extracellular region,,Swiss-Prot,489
P21802,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,488
P00736,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,488
P0CG47,True,,9606,Extracellular space,,Swiss-Prot,485
Q15223,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,483
O60469,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,481
P48023,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,478
P67870,True,,9606,Extracellular region,,Swiss-Prot,477
P08581,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,476
P01889,True,,9606,Extracellular space,,Swiss-Prot,468
O14944,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,467
P00747,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,459
Q14974,True,,9606,Extracellular region,,Swiss-Prot,453
P68366,True,,9606,Extracellular region,,Swiss-Prot,452
Q15465,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,451
P12956,True,,9606,Extracellular region,,Swiss-Prot,450
P12644,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,443
Q15323,True,,9606,Extracellular space,,Swiss-Prot,435
P54762,True,,9606,Extracellular region,,Swiss-Prot,435
P0CG48,True,,9606,Extracellular space,,Swiss-Prot,434
P01023,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,432
P24821,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,430
P06729,True,,9606,Extracellular region,,Swiss-Prot,426
P05362,True,,9606,Extracellular space,,Swiss-Prot,425
P62987,True,,9606,Extracellular space,,Swiss-Prot,425
P10966,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,423
P62805,True,,9606,Extracellular region,,Swiss-Prot,422
P09769,True,,9606,Extracellular region,,Swiss-Prot,422
P01375,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,421
Q16623,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,421
Q92876,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,418
P00750,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,417
P13500,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,416
O14936,True,,9606,Basement membrane,,Swiss-Prot,413
P09429,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,412
P02452,True,Collagens|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,408
P13010,True,,9606,Extracellular region,,Swiss-Prot,404
P20160,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,400
O14786,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,400
P13611,True,Proteoglycans|Core matrisome,9606,Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,399
P48740,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,398
Q02763,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,396
P04439,True,,9606,Extracellular space,,Swiss-Prot,393
P14543,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular region,Basement membrane|Extracellular matrix|Extracellular space/secreted,Swiss-Prot,393
P52907,True,,9606,Extracellular region,,Swiss-Prot,390
P50990,True,,9606,Extracellular region,,Swiss-Prot,388
P20333,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,386
P08246,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,,Swiss-Prot,384
P01732,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,384
P00734,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,382
Q12959,True,,9606,Basement membrane,,Swiss-Prot,380
O00571,True,,9606,Extracellular region,,Swiss-Prot,380
Q13873,True,,9606,Extracellular space,,Swiss-Prot,378
Q9UBB9,True,,9606,Extracellular matrix,,Swiss-Prot,377
P14923,True,,9606,Extracellular region,,Swiss-Prot,376
P12814,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,375
P16144,True,,9606,Basement membrane,,Swiss-Prot,373
P68104,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,370
P29320,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,370
O60259,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,370
Q7Z6Z7,True,,9606,Extracellular region,,Swiss-Prot,370
P01024,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,368
P11215,True,,9606,Extracellular space,,Swiss-Prot,366
P54760,True,,9606,Extracellular region,,Swiss-Prot,365
Q16531,True,,9606,Extracellular space,,Swiss-Prot,364
P35916,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,364
P15692,True,Secreted Factors|Matrisome-associated,9606,Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,363
P08887,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,362
Q13200,True,,9606,Extracellular region,,Swiss-Prot,361
P61812,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,360
P08709,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,360
P23528,True,,9606,Extracellular space,,Swiss-Prot,359
P01584,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,359
P62807,True,,9606,Extracellular space,,Swiss-Prot,355
P68371,True,,9606,Extracellular region,,Swiss-Prot,354
Q14004,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,352
P54753,True,,9606,Extracellular region,,Swiss-Prot,352
P51608,True,,9606,Extracellular space,,Swiss-Prot,350
O43707,True,,9606,Extracellular region|Extracellular space,,Swiss-Prot,349
P14210,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,,Swiss-Prot,348
P04275,True,ECM Glycoproteins|Core matrisome,9606,Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,348
P62879,True,,9606,Extracellular space,,Swiss-Prot,347
P17066,True,,9606,Extracellular region,,Swiss-Prot,347
O75665,True,,9606,Extracellular region,,Swiss-Prot,344
P60484,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,343
Q92752,True,ECM Glycoproteins|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,341
P26038,True,,9606,Extracellular space,,Swiss-Prot,341
P13591,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,340
P10912,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,339
P47755,True,,9606,Extracellular region,,Swiss-Prot,337
P0DMV9,True,,9606,Extracellular region,,Swiss-Prot,336
Q14204,True,,9606,Extracellular region,,Swiss-Prot,335
P36507,True,,9606,Extracellular region,,Swiss-Prot,334
Q8IWV2,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,334
O15068,True,,9606,Extracellular space,,Swiss-Prot,331
P01133,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,,Swiss-Prot,330
Q12866,True,,9606,Extracellular space,,Swiss-Prot,330
P09382,True,ECM-affiliated Proteins|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,329
P51693,True,,9606,Basement membrane,,Swiss-Prot,329
P55072,True,,9606,Extracellular region,,Swiss-Prot,327
P42685,True,,9606,Extracellular region,,Swiss-Prot,326
P29460,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,325
Q12905,True,,9606,Extracellular region,,Swiss-Prot,324
P07355,True,ECM-affiliated Proteins|Matrisome-associated,9606,Basement membrane|Extracellular region|Extracellular space,Basement membrane|Extracellular matrix|Extracellular space/secreted,Swiss-Prot,324
O00468,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular region,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,324
P26583,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,320
P50281,True,ECM Regulators|Matrisome-associated,9606,Extracellular matrix|Extracellular space,,Swiss-Prot,318
Q96RS0,True,,9606,Extracellular space,,Swiss-Prot,315
Q96RT1,True,,9606,Basement membrane,,Swiss-Prot,314
P61769,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,314
Q16270,True,ECM Glycoproteins|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,312
P02461,True,Collagens|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,312
P24593,True,ECM Glycoproteins|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,310
P41218,True,,9606,Extracellular region,,Swiss-Prot,310
P27797,True,,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,309
P14625,True,,9606,Extracellular region,,Swiss-Prot,309
Q16778,True,,9606,Extracellular space,,Swiss-Prot,308
P40189,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,308
O75093,True,ECM Glycoproteins|Core matrisome,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,307
P02768,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,306
Q9Y490,True,,9606,Extracellular region,,Swiss-Prot,305
P0DMV8,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,305
P51610,False,Secreted Factors|Matrisome-associated,9606,,,Swiss-Prot,304
P18075,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,304
Q14118,True,,9606,Basement membrane|Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,302
Q08380,True,,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,302
P06702,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,301
P02778,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,301
P10145,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,299
Q92830,True,,9606,Extracellular space,,Swiss-Prot,297
P20908,True,Collagens|Core matrisome,9606,Basement membrane|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,296
P98160,True,Proteoglycans|Core matrisome,9606,Basement membrane|Extracellular region|Extracellular space,Basement membrane|Extracellular matrix|Extracellular space/secreted,Swiss-Prot,295
P78423,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,293
P12111,True,Collagens|Core matrisome,9606,Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,292
P10600,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,292
O95967,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular matrix|Extracellular region,Basement membrane|Extracellular matrix|Extracellular space/secreted,Swiss-Prot,288
Q14116,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,288
Q7Z3S9,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,287
P38159,True,,9606,Extracellular space,,Swiss-Prot,286
P17813,True,,9606,Extracellular space,,Swiss-Prot,285
P16871,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,284
O35604,True,,10090,Extracellular region,,Swiss-Prot,284
P10599,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,283
P10909,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,283
P12110,True,Collagens|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,280
Q9UJU6,True,,9606,Extracellular region,,Swiss-Prot,279
Q9UQP3,True,ECM Glycoproteins|Core matrisome,9606,Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,277
P07237,True,,9606,Extracellular region,,Swiss-Prot,277
P22301,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,276
O76011,True,,9606,Extracellular space,,Swiss-Prot,275
P03952,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,275
O00487,True,,9606,Extracellular region,,Swiss-Prot,274
P02649,True,,9606,Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,271
Q04721,True,,9606,Extracellular region,,Swiss-Prot,271
P51805,False,ECM-affiliated Proteins|Matrisome-associated,9606,,,Swiss-Prot,270
P68133,True,,9606,Extracellular space,,Swiss-Prot,269
P78310,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,269
P35609,True,,9606,Extracellular region,,Swiss-Prot,269
P08476,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,269
P07204,True,,9606,Extracellular space,,Swiss-Prot,268
P48061,True,Secreted Factors|Matrisome-associated,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,268
Q9BY14,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,268
P06681,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,267
Q9H6Z9,False,ECM Regulators|Matrisome-associated,9606,,,Swiss-Prot,266
P02745,True,ECM-affiliated Proteins|Matrisome-associated,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,266
Q9UQ80,True,,9606,Extracellular region,,Swiss-Prot,265
P11047,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular region|Extracellular space,Basement membrane|Extracellular matrix|Extracellular space/secreted,Swiss-Prot,264
P08311,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,264
Q08345,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,264
P17931,True,ECM-affiliated Proteins|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,263
O14788,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,263
Q14982,True,,9606,Extracellular region,,Swiss-Prot,262
P35241,True,,9606,Extracellular space,,Swiss-Prot,262
P10321,True,,9606,Extracellular space,,Swiss-Prot,259
P01127,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,257
P05231,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,257
Q9BVP2,True,,9606,Extracellular space,,Swiss-Prot,257
Q9UBS5,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,256
P01308,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,254
P02776,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,254
Q562R1,True,,9606,Extracellular space,,Swiss-Prot,253
P08253,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,253
P62736,True,,9606,Basement membrane|Extracellular space,,Swiss-Prot,253
P49767,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,253
Q8TD84,True,,9606,Extracellular space,,Swiss-Prot,252
P02746,True,ECM-affiliated Proteins|Matrisome-associated,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,250
O95813,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,250
P13693,True,,9606,Extracellular space,,Swiss-Prot,250
Q9UEU0,True,,9606,Extracellular region,,Swiss-Prot,250
P10144,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,249
Q12906,True,,9606,Extracellular region,,Swiss-Prot,248
O00187,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,248
P04085,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,247
Q8IU80,True,,9606,Extracellular space,,Swiss-Prot,247
P01574,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,246
P05155,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,245
Q9Y337,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,244
Q9Y275,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,244
P19235,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,244
Q13287,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,243
P35030,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,242
P17980,True,,9606,Extracellular region,,Swiss-Prot,242
P16109,True,,9606,Extracellular space,,Swiss-Prot,242
Q92823,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,241
O95393,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,241
Q9H2X0,True,Secreted Factors|Matrisome-associated,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,240
Q99715,True,Collagens|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,240
P17858,True,,9606,Extracellular region,,Swiss-Prot,240
Q03001,True,,9606,Basement membrane,,Swiss-Prot,239
Q14623,True,Secreted Factors|Matrisome-associated,9606,Extracellular matrix|Extracellular space,Extracellular space/secreted,Swiss-Prot,239
P16284,True,,9606,Extracellular space,,Swiss-Prot,239
O95631,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular region,Extracellular space/secreted,Swiss-Prot,238
P25391,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular matrix|Extracellular region|Extracellular space,Basement membrane|Extracellular matrix|Extracellular space/secreted,Swiss-Prot,238
P00746,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,237
Q5JZY3,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,237
P55268,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular region,Basement membrane|Extracellular matrix|Extracellular space/secreted,Swiss-Prot,237
P15151,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,237
P26447,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,236
P02753,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,236
P04004,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,236
P08138,True,,9606,Extracellular region,,Swiss-Prot,236
P16471,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,235
Q92796,True,,9606,Extracellular space,,Swiss-Prot,235
O75581,True,,9606,Extracellular region,,Swiss-Prot,235
P15813,True,,9606,Extracellular space,,Swiss-Prot,234
P26842,True,,9606,Extracellular region,,Swiss-Prot,232
P35555,True,ECM Glycoproteins|Core matrisome,9606,Basement membrane|Extracellular matrix|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,232
Q9BQR3,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,231
P13639,True,,9606,Extracellular region,,Swiss-Prot,230
Q29983,True,,9606,Extracellular space,,Swiss-Prot,228
Q92832,True,ECM Glycoproteins|Core matrisome,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,228
Q13444,True,ECM Regulators|Matrisome-associated,9606,Extracellular space,,Swiss-Prot,227
P51858,True,,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,227
Q15008,True,,9606,Extracellular region,,Swiss-Prot,227
Q15848,True,ECM Glycoproteins|Core matrisome,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,227
Q8TD08,True,,9606,Extracellular region,,Swiss-Prot,227
Q15109,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,227
P14618,True,,9606,Extracellular region,,Swiss-Prot,226
P35998,True,,9606,Extracellular region,,Swiss-Prot,226
O00231,True,,9606,Extracellular region,,Swiss-Prot,226
P60568,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,226
P13726,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,226
P50454,True,ECM Regulators|Matrisome-associated,9606,Extracellular space,,Swiss-Prot,225
P04271,True,Secreted Factors|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,225
P61160,True,,9606,Extracellular region,,Swiss-Prot,224
Q29980,True,,9606,Extracellular space,,Swiss-Prot,224
Q00889,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,224
P29965,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,223
O43242,True,,9606,Extracellular region,,Swiss-Prot,222
P02458,True,Collagens|Core matrisome,9606,Basement membrane|Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,222
P00748,True,ECM Regulators|Matrisome-associated,9606,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,222
P12544,True,,9606,Extracellular space,Extracellular space/secreted,Swiss-Prot,222
